rank,model,effort,score,cost_usd_per_task,total_tokens_million,provider,provider_model_id,precision
21,Ministral 3 14B,default,11.0525,0.149186254,597.855766,Mistral,ministral-3-14b,first-party precision undisclosed
22,GPT-5.6 Terra,low,40.4657,0.154171795,119.744361,OpenAI,gpt-5.6-terra,first-party undisclosed
23,GPT-5.5,non-reasoning,35.3827,0.171013647,64.46389,OpenAI,gpt-5.5,first-party undisclosed
24,GPT-5.6 Terra,medium,45.5742,0.175198458,142.534286,OpenAI,gpt-5.6-terra,first-party undisclosed
25,GPT-5.6 Terra,non-reasoning,33.9672,0.178594689,141.859696,OpenAI,gpt-5.6-terra,first-party undisclosed
26,Qwen3.6 35B A3B,default,31.6496,0.178815932,605.75407,Novita,qwen/qwen3.6-35b-a3b,BF16
27,Ministral 3 8B,default,8.9573,0.18482442,756.518983,Mistral,ministral-3-8b,first-party precision undisclosed
28,Qwen3.6 Plus,default,39.5608,0.18526297,520.24408,Alibaba Cloud Model Studio,qwen3.6-plus,first-party undisclosed
29,Qwen3.6 27B,default,37.0517,0.195746565,398.38539,Alibaba Cloud Model Studio,qwen3.6-27b,first-party undisclosed
30,GPT-5.6 Sol,low,49.444,0.197466244,100.092568,OpenAI,gpt-5.6-sol,first-party undisclosed
31,Nemotron 3 Ultra 550B A55B (NVFP4),default,37.762,0.198174616,496.45206,Blackbox AI,nvidia/nemotron-3-ultra-550b-a55b,NVFP4
32,GPT-5.6 Sol,non-reasoning,41.2034,0.200444615,112.41316,OpenAI,gpt-5.6-sol,first-party undisclosed
33,GPT-5.6 Luna,max,51.2359,0.209413324,860.115185,OpenAI,gpt-5.6-luna,first-party undisclosed
34,GPT-5.5,low,43.4605,0.210872345,81.638001,OpenAI,gpt-5.5,first-party undisclosed
35,Amazon Nova 2.0 Pro,low,19.6059,0.21277261,108.455918,Amazon Bedrock,amazon.nova-2-pro-v1:0,first-party undisclosed
36,Amazon Nova 2.0 Pro,non-reasoning,14.3557,0.24556414,127.797362,Amazon Bedrock,amazon.nova-2-pro-v1:0,first-party undisclosed
37,Grok 4.5,high,53.8266,0.249885212,415.347932,xAI,grok-4.5,first-party undisclosed
38,Amazon Nova 2.0 Pro,medium,21.7655,0.252645642,128.260737,Amazon Bedrock,amazon.nova-2-pro-v1:0,first-party undisclosed
39,Muse Spark 1.1,xhigh,50.623,0.26102207,635.456362,Meta Model API,muse-spark-1.1,first-party undisclosed
40,Gemini 3.1 Pro Preview,default,46.4594,0.29113643,341.946425,Google AI Studio,gemini-3.1-pro-preview,first-party undisclosed
41,Kimi K2.6,default,44.2197,0.293594759,706.580846,Novita,moonshotai/kimi-k2.6,unquantized
42,GPT-5.6 Sol,medium,53.5888,0.313984498,198.727752,OpenAI,gpt-5.6-sol,first-party undisclosed
43,GLM-5.2,max,51.0858,0.318739992,685.958125,Z.AI,glm-5.2,first-party undisclosed
44,GPT-5.6 Terra,high,48.9549,0.336329491,316.660198,OpenAI,gpt-5.6-terra,first-party undisclosed
45,Claude Opus 5,low,50.6137,0.360722115,208.631169,Anthropic,claude-opus-5,first-party undisclosed
46,Qwen3.7 Max,default,45.9937,0.368760407,402.021404,Alibaba Cloud Model Studio,qwen3.7-max,first-party undisclosed
47,Claude Sonnet 5,non-reasoning,41.7305,0.374528087,984.052492,Anthropic,claude-sonnet-5,first-party undisclosed
48,GPT-5.5,medium,50.409,0.40611679,172.37123,OpenAI,gpt-5.5,first-party undisclosed
49,GPT-5.6 Sol,high,55.8665,0.453009427,362.117022,OpenAI,gpt-5.6-sol,first-party undisclosed
50,GPT-5.6 Terra,xhigh,51.6046,0.47687448,482.823675,OpenAI,gpt-5.6-terra,first-party undisclosed
51,Gemini 3.6 Flash,high,50.0675,0.501299279,832.147674,Google AI Studio,gemini-3.6-flash,first-party undisclosed
52,GPT-5.5 Instant (June 2026),instant,28.8603,0.53896428,242.679655,OpenAI,gpt-5.5-instant-06-26,first-party undisclosed
53,Mistral Medium 3.5,default,29.9473,0.563328394,624.238109,Mistral,mistral-medium-3.5,first-party precision undisclosed
54,Gemini 3.5 Flash,default,50.2035,0.585545242,1084.683674,Google AI Studio,gemini-3.5-flash,first-party undisclosed
55,Claude Opus 5,medium,56.2806,0.618359184,409.469487,Anthropic,claude-opus-5,first-party undisclosed
56,GPT-5.5,high,53.1275,0.668057792,286.183934,OpenAI,gpt-5.5,first-party undisclosed
57,GPT-5.6 Sol,xhigh,57.6538,0.682476859,566.232133,OpenAI,gpt-5.6-sol,first-party undisclosed
58,Magistral Medium 1.2,default,17.8745,0.747145128,377.396138,Mistral,magistral-medium-2509,first-party precision undisclosed
59,GPT-5.6 Terra,max,54.9529,0.824611656,892.465517,OpenAI,gpt-5.6-terra,first-party undisclosed
60,Kimi K3,default,57.1123,0.954120788,992.318419,Kimi,kimi-k3,first-party undisclosed
61,GPT-5.5,xhigh,54.8376,0.992463778,436.333834,OpenAI,gpt-5.5,first-party undisclosed
62,GPT-5.6 Sol,max,58.8898,1.037330157,1053.561887,OpenAI,gpt-5.6-sol,first-party undisclosed
63,Claude Opus 5,high,58.8642,1.057110227,843.479445,Anthropic,claude-opus-5,first-party undisclosed
64,Claude Sonnet 5,max,53.35,1.525425448,3826.837271,Anthropic,claude-sonnet-5,first-party undisclosed
65,Claude Opus 5,xhigh,60.0682,1.561160318,1368.02731,Anthropic,claude-opus-5,first-party undisclosed
66,Claude Opus 4.8,max,55.692,1.797221526,1052.866483,Anthropic,claude-opus-4-8,first-party undisclosed
67,Claude Opus 5,max,60.6919,2.02768093,1877.177407,Anthropic,claude-opus-5,first-party undisclosed
68,Claude Fable 5 (with fallback),max,59.8606,2.749823901,906.882715,Anthropic,claude-fable-5,first-party undisclosed
